area	method	year	quarter	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63	p64	p65	p66	p67	p68	p69	p70	p71	p72	p73	p74	p75	p76	p77	p78	p79	p80	num
M	PL	1992	1	0	0	0	0	0	0	0	0	0	0.000519210799584631	0.000519210799584631	0.00259605399792316	0.00259605399792316	0.00467289719626168	0.00467289719626168	0.00311526479750779	0.00311526479750779	0.00311526479750779	0.00311526479750779	0.00726895119418484	0.00726895119418484	0.0332294911734164	0.0332294911734164	0.115264797507788	0.115264797507788	0.154205607476636	0.154205607476636	0.078920041536864	0.078920041536864	0.0477673935617861	0.0477673935617861	0.00882658359293873	0.00882658359293873	0.0119418483904465	0.0119418483904465	0.00674974039460021	0.00674974039460021	0.00519210799584631	0.00519210799584631	0.00571131879543095	0.00571131879543095	0.00571131879543095	0.00571131879543095	0.00363447559709242	0.00363447559709242	0.00155763239875389	0.00155763239875389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1926
M	PL	1992	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00114942528735632	0.00114942528735632	0.00172413793103448	0.00172413793103448	0.00459770114942529	0.00459770114942529	0.0109195402298851	0.0109195402298851	0.0390804597701149	0.0390804597701149	0.125287356321839	0.125287356321839	0.127011494252874	0.127011494252874	0.0954022988505747	0.0954022988505747	0.017816091954023	0.017816091954023	0.00919540229885057	0.00919540229885057	0.00862068965517241	0.00862068965517241	0.00517241379310345	0.00517241379310345	0.00632183908045977	0.00632183908045977	0.0114942528735632	0.0114942528735632	0.0109195402298851	0.0109195402298851	0.0103448275862069	0.0103448275862069	0.00747126436781609	0.00747126436781609	0.00517241379310345	0.00517241379310345	0.00172413793103448	0.00172413793103448	0.000574712643678161	0.000574712643678161	0	0	0	0	0	0	1740
M	PL	1992	3	0	0	0	0	0	0	0	0	0	0	0	0.00178571428571429	0.00178571428571429	0.000446428571428571	0.000446428571428571	0.00267857142857143	0.00267857142857143	0.00580357142857143	0.00580357142857143	0.00848214285714286	0.00848214285714286	0.0459821428571429	0.0459821428571429	0.0714285714285714	0.0714285714285714	0.0995535714285714	0.0995535714285714	0.09375	0.09375	0.0977678571428571	0.0977678571428571	0.0165178571428571	0.0165178571428571	0.0102678571428571	0.0102678571428571	0.00848214285714286	0.00848214285714286	0.00446428571428571	0.00446428571428571	0.009375	0.009375	0.00892857142857143	0.00892857142857143	0.00491071428571429	0.00491071428571429	0.00625	0.00625	0.00223214285714286	0.00223214285714286	0.000892857142857143	0.000892857142857143	0	0	0	0	0	0	0	0	0	0	2240
M	PL	1992	4	0	0	0	0	0	0	0	0	0	0	0	0.00418101328086572	0.00418101328086572	0.00491883915395967	0.00491883915395967	0.0118052139695032	0.0118052139695032	0.0231185440236104	0.0231185440236104	0.0314805705853419	0.0314805705853419	0.0634530250860797	0.0634530250860797	0.0693556320708313	0.0693556320708313	0.0969011313330054	0.0969011313330054	0.0971470732907034	0.0971470732907034	0.0767338908017708	0.0767338908017708	0.0113133300541072	0.0113133300541072	0.00319724545007378	0.00319724545007378	0.00221347761928185	0.00221347761928185	0.000983767830791933	0.000983767830791933	0.000983767830791933	0.000983767830791933	0.000491883915395967	0.000491883915395967	0.000245941957697983	0.000245941957697983	0.000491883915395967	0.000491883915395967	0.00073782587309395	0.00073782587309395	0.000245941957697983	0.000245941957697983	0	0	0	0	0	0	0	0	0	0	4066
M	PL	1993	1	0	0	0	0	0	0	0	0	0	0.000356125356125356	0.000356125356125356	0.00178062678062678	0.00178062678062678	0.000712250712250712	0.000712250712250712	0.00391737891737892	0.00391737891737892	0.00997150997150997	0.00997150997150997	0.0224358974358974	0.0224358974358974	0.0448717948717949	0.0448717948717949	0.0452279202279202	0.0452279202279202	0.0459401709401709	0.0459401709401709	0.0548433048433048	0.0548433048433048	0.0576923076923077	0.0576923076923077	0.0466524216524217	0.0466524216524217	0.0381054131054131	0.0381054131054131	0.0448717948717949	0.0448717948717949	0.0459401709401709	0.0459401709401709	0.0277777777777778	0.0277777777777778	0.00356125356125356	0.00356125356125356	0.00249287749287749	0.00249287749287749	0.00106837606837607	0.00106837606837607	0.00142450142450142	0.00142450142450142	0.000356125356125356	0.000356125356125356	0	0	0	0	0	0	0	0	0	0	2808
M	PL	1993	2	0	0	0	0	0	0	0	0	0	0.000578703703703704	0.000578703703703704	0.000578703703703704	0.000578703703703704	0.00173611111111111	0.00173611111111111	0.00231481481481481	0.00231481481481481	0.00231481481481481	0.00231481481481481	0.00810185185185185	0.00810185185185185	0.0422453703703704	0.0422453703703704	0.0549768518518519	0.0549768518518519	0.111111111111111	0.111111111111111	0.120949074074074	0.120949074074074	0.072337962962963	0.072337962962963	0.025462962962963	0.025462962962963	0.0104166666666667	0.0104166666666667	0.00694444444444444	0.00694444444444444	0.00289351851851852	0.00289351851851852	0.00520833333333333	0.00520833333333333	0.00347222222222222	0.00347222222222222	0.00405092592592593	0.00405092592592593	0.00810185185185185	0.00810185185185185	0.00636574074074074	0.00636574074074074	0.00694444444444444	0.00694444444444444	0.00289351851851852	0.00289351851851852	0	0	0	0	0	0	0	0	1728
M	PL	1993	3	0	0	0	0	0	0	0	0	0	0.001085776330076	0.001085776330076	0.00434310532030402	0.00434310532030402	0.00651465798045603	0.00651465798045603	0.010314875135722	0.010314875135722	0.0190010857763301	0.0190010857763301	0.0282301845819761	0.0282301845819761	0.0646036916395223	0.0646036916395223	0.0787187839305103	0.0787187839305103	0.0776330076004343	0.0776330076004343	0.0635179153094463	0.0635179153094463	0.0575461454940282	0.0575461454940282	0.0358306188925081	0.0358306188925081	0.0211726384364821	0.0211726384364821	0.00814332247557003	0.00814332247557003	0.011400651465798	0.011400651465798	0.00760043431053203	0.00760043431053203	0.00380021715526602	0.00380021715526602	0.000542888165038002	0.000542888165038002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1842
M	PL	1993	4	0	0	0	0	0	0	0	0.00010371292263016	0.00010371292263016	0.000414851690520639	0.000414851690520639	0.00331881352416511	0.00331881352416511	0.00414851690520639	0.00414851690520639	0.00964530180460485	0.00964530180460485	0.0176311968471272	0.0176311968471272	0.0312175897116781	0.0312175897116781	0.0608794855839038	0.0608794855839038	0.06492428956648	0.06492428956648	0.0789255341215516	0.0789255341215516	0.0703173615432483	0.0703173615432483	0.057145820369218	0.057145820369218	0.0345364032358432	0.0345364032358432	0.0202240199128811	0.0202240199128811	0.0152457996266335	0.0152457996266335	0.0136901057871811	0.0136901057871811	0.00757104335200166	0.00757104335200166	0.00497822028624767	0.00497822028624767	0.00290396183364447	0.00290396183364447	0.00186683260734287	0.00186683260734287	0.000311138767890479	0.000311138767890479	0	0	0	0	0	0	0	0	0	0	0	0	9642
M	PL	1994	1	0.00031201248049922	0.00121968515104241	0.00121968515104241	0.00158842717345057	0.00158842717345057	0.00175861579917742	0.00175861579917742	0.00385760884980854	0.00385760884980854	0.00570131896184938	0.00570131896184938	0.0124237696780598	0.0124237696780598	0.0138987377676925	0.0138987377676925	0.0165366614664587	0.0165366614664587	0.0180683590980003	0.0180683590980003	0.0316267196142391	0.0316267196142391	0.0430577223088924	0.0430577223088924	0.0408736349453978	0.0408736349453978	0.0572401077861296	0.0572401077861296	0.0571833782442207	0.0571833782442207	0.0506594809246915	0.0506594809246915	0.0275138278258403	0.0275138278258403	0.0110622606722451	0.0110622606722451	0.00910509147638633	0.00910509147638633	0.0105233300241101	0.0105233300241101	0.0154871649411431	0.0154871649411431	0.0169621330307758	0.0169621330307758	0.0138703729967381	0.0138703729967381	0.0142958445610552	0.0142958445610552	0.0122819458232875	0.0122819458232875	0.00873634945397816	0.00873634945397816	0.00249609984399376	0.00249609984399376	0.000765848815770813	0.000765848815770813	0.000340377251453695	0.000340377251453695	0.000453836335271593	0.000453836335271593	0.000255282938590271	0.000255282938590271	35255
M	PL	1994	2	0	4.67595623304966e-05	4.67595623304966e-05	0.00014027868699149	0.00014027868699149	0.000374076498643973	0.000374076498643973	0.0013560273075844	0.0013560273075844	0.00355372673711774	0.00355372673711774	0.0138875900121575	0.0138875900121575	0.0155943140372206	0.0155943140372206	0.0211587019545497	0.0211587019545497	0.024291592630693	0.024291592630693	0.0319367810717292	0.0319367810717292	0.0334564668474703	0.0334564668474703	0.0301832974843355	0.0301832974843355	0.048209108762742	0.048209108762742	0.0519031141868512	0.0519031141868512	0.0540306742728888	0.0540306742728888	0.0300196390161788	0.0300196390161788	0.0136304124193398	0.0136304124193398	0.0160385298793603	0.0160385298793603	0.01741793696811	0.01741793696811	0.0249462265033199	0.0249462265033199	0.0184466473393809	0.0184466473393809	0.0129056392032171	0.0129056392032171	0.0134433741700178	0.0134433741700178	0.00937529224726457	0.00937529224726457	0.00860375946881137	0.00860375946881137	0.00315627045730852	0.00315627045730852	0.00147292621341064	0.00147292621341064	0.000327316936313476	0.000327316936313476	7.01393434957449e-05	7.01393434957449e-05	2.33797811652483e-05	2.33797811652483e-05	42772
M	PL	1994	3	0	0	0	5.74977000919963e-05	5.74977000919963e-05	0.000114995400183993	0.000114995400183993	0.000364152100582643	0.000364152100582643	0.000862465501379945	0.000862465501379945	0.00528978840846366	0.00528978840846366	0.00747470101195952	0.00747470101195952	0.016214351425943	0.016214351425943	0.0266022692425636	0.0266022692425636	0.0461898190739037	0.0461898190739037	0.0635924563017479	0.0635924563017479	0.0471097822753756	0.0471097822753756	0.047493100275989	0.047493100275989	0.0432957681692732	0.0432957681692732	0.0429124501686599	0.0429124501686599	0.0288638454461822	0.0288638454461822	0.0178434529285495	0.0178434529285495	0.0135694572217111	0.0135694572217111	0.0120170193192272	0.0120170193192272	0.0195683839313094	0.0195683839313094	0.0174218031278749	0.0174218031278749	0.0163101809260963	0.0163101809260963	0.0111928856179086	0.0111928856179086	0.00693805581110089	0.00693805581110089	0.0067655627108249	0.0067655627108249	0.00120745170193192	0.00120745170193192	0.000613308800981294	0.000613308800981294	5.74977000919963e-05	5.74977000919963e-05	3.83318000613309e-05	3.83318000613309e-05	1.91659000306654e-05	1.91659000306654e-05	52176
M	PL	1994	4	0	0	0	2.29315721885892e-05	2.29315721885892e-05	2.29315721885892e-05	2.29315721885892e-05	0.00029811043845166	0.00029811043845166	0.000802605026600624	0.000802605026600624	0.00197211520821868	0.00197211520821868	0.00245367822417905	0.00245367822417905	0.00401302513300312	0.00401302513300312	0.00834709227664649	0.00834709227664649	0.020546688680976	0.020546688680976	0.0571454778939644	0.0571454778939644	0.06989543203082	0.06989543203082	0.07347275729224	0.07347275729224	0.0637039075399009	0.0637039075399009	0.0582461933590167	0.0582461933590167	0.0313015960374243	0.0313015960374243	0.0186892313337002	0.0186892313337002	0.0118556228215006	0.0118556228215006	0.00958539717483031	0.00958539717483031	0.0132085855806274	0.0132085855806274	0.0138736011740965	0.0138736011740965	0.017084021280499	0.017084021280499	0.0108466336452027	0.0108466336452027	0.00637497706842781	0.00637497706842781	0.00437993028802055	0.00437993028802055	0.000687947165657678	0.000687947165657678	0.00091726288754357	0.00091726288754357	0.000137589433131535	0.000137589433131535	6.87947165657677e-05	6.87947165657677e-05	4.58631443771785e-05	4.58631443771785e-05	43608
M	PL	1995	1	0	2.16534580572517e-05	2.16534580572517e-05	8.6613832229007e-05	8.6613832229007e-05	0.000151574206400762	0.000151574206400762	0.000606296825603049	0.000606296825603049	0.00086613832229007	0.00086613832229007	0.0024251873024122	0.0024251873024122	0.00173227664458014	0.00173227664458014	0.00240353384435494	0.00240353384435494	0.0062361959204885	0.0062361959204885	0.0145078168983587	0.0145078168983587	0.0340175826079425	0.0340175826079425	0.0484820925901867	0.0484820925901867	0.059352128534927	0.059352128534927	0.0551297042137629	0.0551297042137629	0.0451691135074271	0.0451691135074271	0.0194881122515266	0.0194881122515266	0.0132302628729808	0.0132302628729808	0.0118444415573167	0.0118444415573167	0.0208955870252479	0.0208955870252479	0.0258325754623013	0.0258325754623013	0.0248798233077823	0.0248798233077823	0.0295136633320341	0.0295136633320341	0.031224286518557	0.031224286518557	0.0257026547139578	0.0257026547139578	0.0184703997228357	0.0184703997228357	0.00409250357282058	0.00409250357282058	0.00227361309601143	0.00227361309601143	0.00119094019314885	0.00119094019314885	0.00012992074834351	0.00012992074834351	4.33069161145035e-05	4.33069161145035e-05	46182
M	PL	1995	2	2.00348606575441e-05	0.000360627491835794	0.000360627491835794	0.000440766934465971	0.000440766934465971	0.000901568729589486	0.000901568729589486	0.00114198705748002	0.00114198705748002	0.00182317231983652	0.00182317231983652	0.00536934265622183	0.00536934265622183	0.006811852623565	0.006811852623565	0.0141245767635686	0.0141245767635686	0.0227596017069701	0.0227596017069701	0.0232604732234087	0.0232604732234087	0.031995672470098	0.031995672470098	0.031775289002865	0.031775289002865	0.044958227315529	0.044958227315529	0.0607256626530162	0.0607256626530162	0.054935587922986	0.054935587922986	0.0269468875843968	0.0269468875843968	0.0123815438863623	0.0123815438863623	0.011119347664937	0.011119347664937	0.0153467032636788	0.0153467032636788	0.0233406126660389	0.0233406126660389	0.0245026345841765	0.0245026345841765	0.0314146615110292	0.0314146615110292	0.0239216236251077	0.0239216236251077	0.0139642978783083	0.0139642978783083	0.0121010558371567	0.0121010558371567	0.00238414841824775	0.00238414841824775	0.00102177789353475	0.00102177789353475	0.000160278885260353	0.000160278885260353	0	0	0	0	49913
