year	quarter	region	method	catch
1981	1	0	4	236
1981	1	1	1	4317
1981	1	1	3	95
1981	1	2	0	889
1981	1	2	1	1307
1981	1	2	2	545
1981	1	2	3	1663
1981	1	2	4	596
1981	2	0	0	431
1981	2	0	1	88
1981	2	0	2	412
1981	2	0	3	621
1981	2	0	4	231
1981	2	1	1	4441
1981	2	1	3	58
1981	2	2	0	1682
1981	2	2	1	1307
1981	2	2	2	8432
1981	2	2	3	1580
1981	2	2	4	599
1981	3	0	0	438
1981	3	0	1	534
1981	3	0	2	715
1981	3	0	3	446
1981	3	0	4	235
1981	3	1	1	4691
1981	3	1	3	88
1981	3	2	0	1388
1981	3	2	1	1307
1981	3	2	2	894
1981	3	2	3	1547
1981	3	2	4	595
1982	0	0	0	985
1982	0	0	1	492
1982	0	0	2	901
1982	0	0	3	589
1982	0	0	4	244
1982	0	1	1	3779
1982	0	1	3	84
1982	0	2	0	2329
1982	0	2	1	1239
1982	0	2	2	1961
1982	0	2	3	2051
1982	0	2	4	735
1982	1	0	0	600
1982	1	0	1	146
1982	1	0	2	1205
1982	1	0	3	788
1982	1	0	4	246
1982	1	1	1	4650
1982	1	1	3	43
1982	1	2	0	1439
1982	1	2	1	1221
1982	1	2	2	2395
1982	1	2	3	2043
1982	1	2	4	737
1982	2	0	0	600
1982	2	0	1	63
1982	2	0	2	511
1982	2	0	3	746
1982	2	0	4	245
1982	2	1	1	3868
1982	2	1	3	23
1982	2	2	0	2291
1982	2	2	1	1216
1982	2	2	2	4162
1982	2	2	3	1932
1982	2	2	4	733
1982	3	0	0	1033
1982	3	0	1	659
1982	3	0	2	886
1982	3	0	3	519
1982	3	0	4	249
1982	3	1	1	2977
1982	3	1	3	35
1982	3	2	0	2011
1982	3	2	1	1216
1982	3	2	2	2860
1982	3	2	3	1888
1982	3	2	4	733
1983	0	0	0	2526
1983	0	0	1	554
1983	0	0	2	308
1983	0	0	3	632
1983	0	0	4	250
1983	0	1	1	6059
1983	0	1	3	83
1983	0	2	0	2145
1983	0	2	1	1168
1983	0	2	2	1841
1983	0	2	3	1988
1983	0	2	4	713
1983	1	0	0	2069
1983	1	0	1	151
1983	1	0	2	414
1983	1	0	3	876
1983	1	0	4	251
1983	1	1	1	5796
1983	1	1	3	46
1983	1	2	0	1214
1983	1	2	1	1141
1983	1	2	2	2265
1983	1	2	3	1980
1983	1	2	4	709
1983	2	0	0	1220
1983	2	0	1	55
1983	2	0	2	179
1983	2	0	3	950
1983	2	0	4	244
1983	2	1	1	3429
1983	2	1	3	29
1983	2	2	0	2216
1983	2	2	1	1138
1983	2	2	2	3990
1983	2	2	3	1872
1983	2	2	4	709
1983	3	0	0	4512
1983	3	0	1	748
1983	3	0	2	304
1983	3	0	3	602
1983	3	0	4	247
1983	3	1	1	3994
1983	3	1	3	41
1983	3	2	0	1888
1983	3	2	1	1141
1983	3	2	2	2719
1983	3	2	3	1829
1983	3	2	4	710
1984	0	0	0	4091
1984	0	0	1	407
1984	0	0	2	342
1984	0	0	3	763
1984	0	0	4	274
1984	0	1	1	7921
1984	0	1	3	167
1984	0	1	4	0
1984	0	2	0	2165
1984	0	2	1	819
1984	0	2	2	1506
1984	0	2	3	1969
1984	0	2	4	698
1984	1	0	0	5652
1984	1	0	1	158
1984	1	0	2	477
1984	1	0	3	1032
1984	1	0	4	283
1984	1	1	1	5775
1984	1	1	3	102
1984	1	1	4	0
1984	1	2	0	1193
1984	1	2	1	409
1984	1	2	2	1944
1984	1	2	3	1961
1984	1	2	4	689
1984	2	0	0	11614
1984	2	0	1	105
1984	2	0	2	205
1984	2	0	3	1163
1984	2	0	4	267
1984	2	1	1	6634
1984	2	1	3	30
1984	2	1	4	1
1984	2	2	0	2326
1984	2	2	1	323
1984	2	2	2	3725
1984	2	2	3	1849
1984	2	2	4	691
1984	3	0	0	18903
1984	3	0	1	1219
1984	3	0	2	342
1984	3	0	3	689
1984	3	0	4	267
1984	3	1	1	11998
1984	3	1	3	39
1984	3	1	4	1
1984	3	2	0	1873
1984	3	2	1	2132
1984	3	2	2	2413
1984	3	2	3	1805
1984	3	2	4	691
1985	0	0	0	8346
1985	0	0	1	637
1985	0	0	2	552
1985	0	0	3	817
1985	0	0	4	251
1985	0	1	1	11912
1985	0	1	3	115
1985	0	1	4	2
1985	0	2	0	2348
1985	0	2	1	1386
1985	0	2	2	1873
1985	0	2	3	2059
1985	0	2	4	726
1985	1	0	0	9391
1985	1	0	1	372
1985	1	0	2	736
1985	1	0	3	1065
1985	1	0	4	256
1985	1	1	1	9001
1985	1	1	3	37
1985	1	1	4	0
1985	1	2	0	1293
1985	1	2	1	874
1985	1	2	2	2248
1985	1	2	3	2051
1985	1	2	4	734
1985	2	0	0	17654
1985	2	0	1	0
1985	2	0	2	317
1985	2	0	3	1186
1985	2	0	4	253
1985	2	1	1	7587
1985	2	1	3	78
1985	2	1	4	0
1985	2	2	0	2342
1985	2	2	1	159
1985	2	2	2	3802
1985	2	2	3	1935
1985	2	2	4	744
1985	3	0	0	24072
1985	3	0	1	736
1985	3	0	2	541
1985	3	0	3	748
1985	3	0	4	258
1985	3	1	1	13670
1985	3	1	3	48
1985	3	1	4	0
1985	3	2	0	1957
1985	3	2	1	1572
1985	3	2	2	2285
1985	3	2	3	1888
1985	3	2	4	729
1986	0	0	0	10804
1986	0	0	1	800
1986	0	0	2	418
1986	0	0	3	933
1986	0	0	4	260
1986	0	1	1	11852
1986	0	1	3	45
1986	0	1	4	2
1986	0	2	0	211
1986	0	2	1	980
1986	0	2	2	2132
1986	0	2	3	2076
1986	0	2	4	907
1986	1	0	0	20886
1986	1	0	1	217
1986	1	0	2	561
1986	1	0	3	1185
1986	1	0	4	274
1986	1	1	1	8092
1986	1	1	3	18
1986	1	1	4	1
1986	1	2	0	1750
1986	1	2	1	939
1986	1	2	2	2997
1986	1	2	3	2067
1986	1	2	4	903
1986	2	0	0	18300
1986	2	0	1	77
1986	2	0	2	244
1986	2	0	3	1481
1986	2	0	4	255
1986	2	1	1	9738
1986	2	1	3	281
1986	2	1	4	0
1986	2	2	0	3407
1986	2	2	1	936
1986	2	2	2	3817
1986	2	2	3	1949
1986	2	2	4	902
1986	3	0	0	18784
1986	3	0	1	1083
1986	3	0	2	412
1986	3	0	3	887
1986	3	0	4	255
1986	3	1	1	15402
1986	3	1	3	42
1986	3	1	4	0
1986	3	2	0	2676
1986	3	2	1	940
1986	3	2	2	1977
1986	3	2	3	1902
1986	3	2	4	902
1987	0	0	0	11592
1987	0	0	1	1009
1987	0	0	2	985
1987	0	0	3	1241
1987	0	0	4	261
1987	0	1	1	13414
1987	0	1	3	107
1987	0	1	4	1
1987	0	2	0	2638
1987	0	2	1	1423
1987	0	2	2	1916
1987	0	2	3	2120
1987	0	2	4	933
1987	1	0	0	19164
1987	1	0	1	712
1987	1	0	2	1329
1987	1	0	3	1245
1987	1	0	4	260
1987	1	1	1	11562
1987	1	1	3	37
1987	1	1	4	0
1987	1	2	0	1931
1987	1	2	1	956
1987	1	2	2	2287
1987	1	2	3	2111
1987	1	2	4	925
1987	2	0	0	26366
1987	2	0	1	10
1987	2	0	2	556
1987	2	0	3	1855
1987	2	0	4	260
1987	2	1	1	8900
1987	2	1	3	63
1987	2	1	4	0
1987	2	2	0	2353
1987	2	2	1	168
1987	2	2	2	3340
1987	2	2	3	1991
1987	2	2	4	925
1987	3	0	0	26712
1987	3	0	1	1202
1987	3	0	2	967
1987	3	0	3	1127
1987	3	0	4	263
1987	3	1	1	8739
1987	3	1	3	87
1987	3	1	4	0
1987	3	2	0	2070
1987	3	2	1	1500
1987	3	2	2	3982
1987	3	2	3	1943
1987	3	2	4	928
1988	0	0	0	9654
1988	0	0	1	2016
1988	0	0	2	2055
1988	0	0	3	1259
1988	0	0	4	255
1988	0	1	1	18356
1988	0	1	3	79
1988	0	1	4	2
1988	0	2	0	2729
1988	0	2	1	2858
1988	0	2	2	2081
1988	0	2	3	2061
1988	0	2	4	1130
1988	1	0	0	14974
1988	1	0	1	195
1988	1	0	2	1717
1988	1	0	3	1263
1988	1	0	4	253
1988	1	1	1	8886
1988	1	1	3	74
1988	1	1	4	0
1988	1	2	0	1515
1988	1	2	1	449
1988	1	2	2	2886
1988	1	2	3	2629
1988	1	2	4	1105
1988	2	0	0	32157
1988	2	0	1	3
1988	2	0	2	1043
1988	2	0	3	1800
1988	2	0	4	255
1988	2	1	1	10913
1988	2	1	3	47
1988	2	1	4	4
1988	2	2	0	2843
1988	2	2	1	196
1988	2	2	2	4714
1988	2	2	3	2634
1988	2	2	4	1102
1988	3	0	0	37964
1988	3	0	1	366
1988	3	0	2	904
1988	3	0	3	1159
1988	3	0	4	255
1988	3	1	1	20062
1988	3	1	3	112
1988	3	1	4	11
1988	3	2	0	2364
1988	3	2	1	673
1988	3	2	2	3202
1988	3	2	3	2438
1988	3	2	4	1102
1989	0	0	0	35463
1989	0	0	1	1106
1989	0	0	2	2626
1989	0	0	3	1372
1989	0	0	4	268
1989	0	1	1	16189
1989	0	1	3	106
1989	0	1	4	2
1989	0	2	0	5590
1989	0	2	1	1449
1989	0	2	2	6603
1989	0	2	3	3516
1989	0	2	4	1219
1989	1	0	0	27480
1989	1	0	1	173
1989	1	0	2	2834
1989	1	0	3	1376
1989	1	0	4	289
1989	1	1	1	12925
1989	1	1	3	71
1989	1	1	4	4
1989	1	2	0	1324
1989	1	2	1	404
1989	1	2	2	1319
1989	1	2	3	2900
1989	1	2	4	1229
1989	2	0	0	34900
1989	2	0	1	130
1989	2	0	2	998
1989	2	0	3	2013
1989	2	0	4	266
1989	2	1	1	12720
1989	2	1	3	30
1989	2	1	4	0
1989	2	2	0	1703
1989	2	2	1	356
1989	2	2	2	4541
1989	2	2	3	2226
1989	2	2	4	1231
1989	3	0	0	31641
1989	3	0	1	1657
1989	3	0	2	1926
1989	3	0	3	1253
1989	3	0	4	289
1989	3	1	1	15976
1989	3	1	3	116
1989	3	1	4	6
1989	3	2	0	1544
1989	3	2	1	2063
1989	3	2	2	2441
1989	3	2	3	2359
1989	3	2	4	1256
1990	0	0	0	27275
1990	0	0	1	2952
1990	0	0	2	2269
1990	0	0	3	1358
1990	0	0	4	326
1990	0	1	1	14361
1990	0	1	3	52
1990	0	1	4	1
1990	0	2	0	2494
1990	0	2	1	4062
1990	0	2	2	3006
1990	0	2	3	2281
1990	0	2	4	1040
1990	1	0	0	24980
1990	1	0	2	3846
1990	1	0	3	1363
1990	1	0	4	282
1990	1	1	1	10876
1990	1	1	3	131
1990	1	1	4	1
1990	1	2	0	1595
1990	1	2	1	167
1990	1	2	2	3394
1990	1	2	3	2355
1990	1	2	4	1024
1990	2	0	0	29444
1990	2	0	2	776
1990	2	0	3	1976
1990	2	0	4	269
1990	2	1	1	13929
1990	2	1	3	399
1990	2	1	4	0
1990	2	2	0	2414
1990	2	2	1	164
1990	2	2	2	5301
1990	2	2	3	2124
1990	2	2	4	1026
1990	3	0	0	24803
1990	3	0	2	2105
1990	3	0	3	1244
1990	3	0	4	277
1990	3	1	1	21545
1990	3	1	3	128
1990	3	1	4	2
1990	3	2	0	1990
1990	3	2	1	168
1990	3	2	2	3895
1990	3	2	3	2074
1990	3	2	4	1016
1991	0	0	0	13758
1991	0	0	1	2376
1991	0	0	2	1158
1991	0	0	3	1416
1991	0	0	4	267
1991	0	1	1	11275
1991	0	1	3	70
1991	0	1	4	0
1991	0	2	0	2966
1991	0	2	1	1267
1991	0	2	2	3406
1991	0	2	3	2646
1991	0	2	4	1199
1991	1	0	0	25648
1991	1	0	1	221
1991	1	0	2	2442
1991	1	0	3	1420
1991	1	0	4	278
1991	1	1	1	14220
1991	1	1	3	230
1991	1	1	4	0
1991	1	2	0	1926
1991	1	2	1	1267
1991	1	2	2	3959
1991	1	2	3	2670
1991	1	2	4	1208
1991	2	0	0	34745
1991	2	0	1	21
1991	2	0	2	2255
1991	2	0	3	2089
1991	2	0	4	267
1991	2	1	1	16070
1991	2	1	3	60
1991	2	1	4	0
1991	2	2	0	2844
1991	2	2	1	1267
1991	2	2	2	6208
1991	2	2	3	2479
1991	2	2	4	1207
1991	3	0	0	47822
1991	3	0	1	598
1991	3	0	2	3010
1991	3	0	3	1291
1991	3	0	4	279
1991	3	1	1	16760
1991	3	1	3	206
1991	3	1	4	6
1991	3	2	0	2404
1991	3	2	1	1267
1991	3	2	2	4551
1991	3	2	3	2419
1991	3	2	4	1199
1992	0	0	0	34323
1992	0	0	1	2747
1992	0	0	2	2722
1992	0	0	3	1490
1992	0	0	4	249
1992	0	1	1	13285
1992	0	1	3	181
1992	0	1	4	3
1992	0	2	0	2678
1992	0	2	1	1376
1992	0	2	2	4131
1992	0	2	3	3040
1992	0	2	4	1315
1992	1	0	0	40543
1992	1	0	1	255
1992	1	0	2	3351
1992	1	0	3	1496
1992	1	0	4	246
1992	1	1	1	17499
1992	1	1	3	174
1992	1	1	4	3
1992	1	2	0	1438
1992	1	2	1	1360
1992	1	2	2	4635
1992	1	2	3	5053
1992	1	2	4	2564
1992	2	0	0	36141
1992	2	0	1	24
1992	2	0	2	2016
1992	2	0	3	2268
1992	2	0	4	246
1992	2	1	1	9579
1992	2	1	3	118
1992	2	1	4	1
1992	2	2	0	2593
1992	2	2	1	1360
1992	2	2	2	6684
1992	2	2	3	2351
1992	2	2	4	2346
1992	3	0	0	39878
1992	3	0	1	691
1992	3	0	2	2711
1992	3	0	3	1346
1992	3	0	4	261
1992	3	1	1	17247
1992	3	1	3	480
1992	3	1	4	7
1992	3	2	0	2235
1992	3	2	1	1360
1992	3	2	2	5174
1992	3	2	3	2310
1992	3	2	4	1152
1993	0	0	0	30858
1993	0	0	1	2897
1993	0	0	2	2969
1993	0	0	3	1523
1993	0	0	4	239
1993	0	1	1	14746
1993	0	1	3	154
1993	0	1	4	4
1993	0	2	0	3690
1993	0	2	1	1558
1993	0	2	2	5050
1993	0	2	3	3916
1993	0	2	4	1678
1993	1	0	0	46103
1993	1	0	1	269
1993	1	0	2	3741
1993	1	0	3	1528
1993	1	0	4	236
1993	1	1	1	14284
1993	1	1	3	248
1993	1	1	4	2
1993	1	2	0	1999
1993	1	2	1	1558
1993	1	2	2	5798
1993	1	2	3	5373
1993	1	2	4	2102
1993	2	0	0	45189
1993	2	0	1	25
1993	2	0	2	2175
1993	2	0	3	2343
1993	2	0	4	244
1993	2	1	1	14120
1993	2	1	3	187
1993	2	1	4	3
1993	2	2	0	3967
1993	2	2	1	1558
1993	2	2	2	8838
1993	2	2	3	3305
1993	2	2	4	1991
1993	3	0	0	39575
1993	3	0	1	729
1993	3	0	2	2972
1993	3	0	3	1370
1993	3	0	4	248
1993	3	1	1	14827
1993	3	1	3	164
1993	3	1	4	0
1993	3	2	0	5167
1993	3	2	1	1558
1993	3	2	2	6598
1993	3	2	3	3235
1993	3	2	4	1618
1994	0	0	0	23248
1994	0	0	1	2891
1994	0	0	2	4030
1994	0	0	3	1523
1994	0	0	4	202
1994	0	1	1	18476
1994	0	1	3	216
1994	0	1	4	3
1994	0	2	0	6770
1994	0	2	1	1713
1994	0	2	2	6422
1994	0	2	3	3852
1994	0	2	4	1823
1994	1	0	0	39818
1994	1	0	1	268
1994	1	0	2	4774
1994	1	0	3	1529
1994	1	0	4	230
1994	1	1	1	16602
1994	1	1	3	47
1994	1	2	0	6383
1994	1	2	1	1699
1994	1	2	2	7244
1994	1	2	3	3876
1994	1	2	4	1811
1994	2	0	0	49756
1994	2	0	1	25
1994	2	0	2	3084
1994	2	0	3	2342
1994	2	0	4	215
1994	2	1	1	18571
1994	2	1	3	26
1994	2	2	0	6075
1994	2	2	1	1681
1994	2	2	2	10584
1994	2	2	3	3605
1994	2	2	4	1803
1994	3	0	0	51942
1994	3	0	1	728
1994	3	0	2	4124
1994	3	0	3	1371
1994	3	0	4	219
1994	3	1	1	15304
1994	3	1	3	166
1994	3	2	0	9034
1994	3	2	1	1681
1994	3	2	2	8123
1994	3	2	3	3518
1994	3	2	4	1826
1995	0	0	0	38812
1995	0	0	1	3223
1995	0	0	2	2225
1995	0	0	3	1603
1995	0	0	4	234
1995	0	1	1	19719
1995	0	1	3	91
1995	0	2	0	8873
1995	0	2	1	2340
1995	0	2	2	5667
1995	0	2	3	3998
1995	0	2	4	1823
1995	1	0	0	38129
1995	1	0	1	299
1995	1	0	2	3016
1995	1	0	3	1610
1995	1	0	4	239
1995	1	1	1	14758
1995	1	1	3	143
1995	1	2	0	6851
1995	1	2	1	1973
1995	1	2	2	6505
1995	1	2	3	3983
1995	1	2	4	1833
1995	2	0	0	44195
1995	2	0	1	28
1995	2	0	2	1509
1995	2	0	3	2516
1995	2	0	4	240
1995	2	1	1	12169
1995	2	1	3	120
1995	2	2	0	6167
1995	2	2	1	1943
1995	2	2	2	9910
1995	2	2	3	3756
1995	2	2	4	1847
1995	3	0	0	42262
1995	3	0	1	811
1995	3	0	2	2329
1995	3	0	3	1434
1995	3	0	4	241
1995	3	1	1	23252
1995	3	1	3	122
1995	3	2	0	7767
1995	3	2	1	1981
1995	3	2	2	7401
1995	3	2	3	3667
1995	3	2	4	1863
1996	0	0	0	29389
1996	0	0	1	3241
1996	0	0	2	1763
1996	0	0	3	1617
1996	0	0	4	239
1996	0	1	1	19079
1996	0	1	3	87
1996	0	1	4	14
1996	0	2	0	6780
1996	0	2	1	2221
1996	0	2	2	6988
1996	0	2	3	4523
1996	0	2	4	2119
1996	1	0	0	31540
1996	1	0	1	301
1996	1	0	2	2241
1996	1	0	3	1624
1996	1	0	4	265
1996	1	1	1	17640
1996	1	1	3	84
1996	1	1	4	6
1996	1	2	0	4443
1996	1	2	1	2011
1996	1	2	2	7953
1996	1	2	3	4504
1996	1	2	4	2133
1996	2	0	0	33367
1996	2	0	1	28
1996	2	0	2	1349
1996	2	0	3	2535
1996	2	0	4	237
1996	2	1	1	13947
1996	2	1	3	61
1996	2	1	4	0
1996	2	2	0	5858
1996	2	2	1	2011
1996	2	2	2	11878
1996	2	2	3	4245
1996	2	2	4	2113
1996	3	0	0	47541
1996	3	0	1	816
1996	3	0	2	1738
1996	3	0	3	1447
1996	3	0	4	242
1996	3	1	1	15508
1996	3	1	3	67
1996	3	1	4	8
1996	3	2	0	6532
1996	3	2	1	2011
1996	3	2	2	8986
1996	3	2	3	4142
1996	3	2	4	2117
1997	0	0	0	31095
1997	0	0	1	3042
1997	0	0	2	3369
1997	0	0	3	1606
1997	0	0	4	231
1997	0	1	1	17823
1997	0	1	3	119
1997	0	1	4	0
1997	0	2	0	6206
1997	0	2	1	351
1997	0	2	2	9322
1997	0	2	3	4803
1997	0	2	4	2299
1997	1	0	0	25900
1997	1	0	1	282
1997	1	0	2	4159
1997	1	0	3	1612
1997	1	0	4	242
1997	1	1	1	15834
1997	1	1	3	557
1997	1	1	4	0
1997	1	2	0	5290
1997	1	2	1	351
1997	1	2	2	10327
1997	1	2	3	4784
1997	1	2	4	2314
1997	2	0	0	34135
1997	2	0	1	26
1997	2	0	2	2734
1997	2	0	3	2467
1997	2	0	4	240
1997	2	1	1	17542
1997	2	1	3	106
1997	2	1	4	2
1997	2	2	0	5704
1997	2	2	1	351
1997	2	2	2	14415
1997	2	2	3	4514
1997	2	2	4	2310
1997	3	0	0	48300
1997	3	0	1	766
1997	3	0	2	3285
1997	3	0	3	1446
1997	3	0	4	235
1997	3	1	1	16891
1997	3	1	3	138
1997	3	1	4	3
1997	3	2	0	6583
1997	3	2	1	351
1997	3	2	2	11403
1997	3	2	3	4407
1997	3	2	4	2286
1998	0	0	0	29824
1998	0	0	1	4078
1998	0	0	2	2362
1998	0	0	3	1926
1998	0	0	4	254
1998	0	1	1	20458
1998	0	1	3	81
1998	0	1	4	31
1998	0	2	0	19710
1998	0	2	1	1977
1998	0	2	2	8958
1998	0	2	3	3503
1998	0	2	4	2762
1998	1	0	0	27771
1998	1	0	1	379
1998	1	0	2	2910
1998	1	0	3	1934
1998	1	0	4	244
1998	1	1	1	14871
1998	1	1	3	89
1998	1	1	4	57
1998	1	2	0	5570
1998	1	2	1	380
1998	1	2	2	9711
1998	1	2	3	3489
1998	1	2	4	2755
1998	2	0	0	34455
1998	2	0	1	35
1998	2	0	2	1827
1998	2	0	3	3081
1998	2	0	4	217
1998	2	1	1	15409
1998	2	1	3	191
1998	2	1	4	20
1998	2	2	0	5686
1998	2	2	1	380
1998	2	2	2	12774
1998	2	2	3	3306
1998	2	2	4	2764
1998	3	0	0	36648
1998	3	0	1	1027
1998	3	0	2	2318
1998	3	0	3	1712
1998	3	0	4	217
1998	3	1	1	27050
1998	3	1	3	144
1998	3	1	4	8
1998	3	2	0	8058
1998	3	2	1	709
1998	3	2	2	10517
1998	3	2	3	3233
1998	3	2	4	2731
1999	0	0	0	37396
1999	0	0	1	3833
1999	0	0	2	4676
1999	0	0	3	1654
1999	0	0	4	240
1999	0	1	1	22121
1999	0	1	3	216
1999	0	1	4	3
1999	0	2	0	9143
1999	0	2	1	1055
1999	0	2	2	12152
1999	0	2	3	3618
1999	0	2	4	2988
1999	1	0	0	36889
1999	1	0	1	356
1999	1	0	2	5454
1999	1	0	3	1661
1999	1	0	4	244
1999	1	1	1	24847
1999	1	1	3	98
1999	1	1	4	2
1999	1	2	0	7110
1999	1	2	1	396
1999	1	2	2	12937
1999	1	2	3	3604
1999	1	2	4	3016
1999	2	0	0	58104
1999	2	0	1	33
1999	2	0	2	4150
1999	2	0	3	2593
1999	2	0	4	234
1999	2	1	1	24306
1999	2	1	3	132
1999	2	1	4	1
1999	2	2	0	5736
1999	2	2	1	396
1999	2	2	2	16128
1999	2	2	3	3414
1999	2	2	4	2983
1999	3	0	0	55422
1999	3	0	1	965
1999	3	0	2	4648
1999	3	0	3	1480
1999	3	0	4	242
1999	3	1	1	21024
1999	3	1	3	138
1999	3	1	4	1
1999	3	2	0	6199
1999	3	2	1	396
1999	3	2	2	13777
1999	3	2	3	3338
1999	3	2	4	2918
2000	0	0	0	33239
2000	0	0	1	3610
2000	0	0	2	5812
2000	0	0	3	1587
2000	0	0	4	193
2000	0	1	1	23521
2000	0	1	3	463
2000	0	1	4	0
2000	0	2	0	7200
2000	0	2	1	361
2000	0	2	2	13204
2000	0	2	3	2267
2000	0	2	4	4595
2000	1	0	0	43610
2000	1	0	1	335
2000	1	0	2	6274
2000	1	0	3	1465
2000	1	0	4	203
2000	1	1	1	18155
2000	1	1	3	209
2000	1	1	4	0
2000	1	2	0	5484
2000	1	2	1	361
2000	1	2	2	13764
2000	1	2	3	2262
2000	1	2	4	4597
2000	2	0	0	53097
2000	2	0	1	31
2000	2	0	2	5303
2000	2	0	3	2611
2000	2	0	4	198
2000	2	1	1	19305
2000	2	1	3	155
2000	2	1	4	0
2000	2	2	0	5253
2000	2	2	1	361
2000	2	2	2	16038
2000	2	2	3	2154
2000	2	2	4	4596
2000	3	0	0	63579
2000	3	0	1	909
2000	3	0	2	5946
2000	3	0	3	1536
2000	3	0	4	196
2000	3	1	1	17791
2000	3	1	3	74
2000	3	1	4	6
2000	3	2	0	5638
2000	3	2	1	361
2000	3	2	2	14362
2000	3	2	3	2112
2000	3	2	4	4596
2001	0	0	0	30984
2001	0	0	1	3922
2001	0	0	2	6717
2001	0	0	3	1728
2001	0	0	4	168
2001	0	1	1	22189
2001	0	1	3	90
2001	0	1	4	1
2001	0	2	0	6150
2001	0	2	1	352
2001	0	2	2	12006
2001	0	2	3	2128
2001	0	2	4	4415
2001	1	0	0	26146
2001	1	0	1	268
2001	1	0	2	7004
2001	1	0	3	1537
2001	1	0	4	176
2001	1	1	1	17097
2001	1	1	3	94
2001	1	1	4	0
2001	1	2	0	4048
2001	1	2	1	352
2001	1	2	2	12566
2001	1	2	3	2118
2001	1	2	4	4405
2001	2	0	0	64690
2001	2	0	1	36
2001	2	0	2	6314
2001	2	0	3	2489
2001	2	0	4	168
2001	2	1	1	20338
2001	2	1	3	914
2001	2	1	4	7
2001	2	2	0	5112
2001	2	2	1	352
2001	2	2	2	14840
2001	2	2	3	2019
2001	2	2	4	4518
2001	3	0	0	58407
2001	3	0	1	811
2001	3	0	2	7530
2001	3	0	3	1610
2001	3	0	4	176
2001	3	1	1	27182
2001	3	1	3	128
2001	3	1	4	4
2001	3	2	0	5352
2001	3	2	1	352
2001	3	2	2	13241
2001	3	2	3	1976
2001	3	2	4	4338
2002	0	0	0	39298
2002	0	0	1	3648
2002	0	0	2	6629
2002	0	0	3	1896
2002	0	0	4	197
2002	0	1	1	29266
2002	0	1	3	124
2002	0	1	4	38
2002	0	2	0	10021
2002	0	2	1	305
2002	0	2	2	11295
2002	0	2	3	2066
2002	0	2	4	3910
2002	1	0	0	35208
2002	1	0	1	249
2002	1	0	2	6960
2002	1	0	3	1568
2002	1	0	4	202
2002	1	1	1	26386
2002	1	1	3	97
2002	1	1	4	4
2002	1	2	0	2428
2002	1	2	1	305
2002	1	2	2	11714
2002	1	2	3	2047
2002	1	2	4	3920
2002	2	0	0	88146
2002	2	0	1	33
2002	2	0	2	6247
2002	2	0	3	2243
2002	2	0	4	196
2002	2	1	1	26531
2002	2	1	3	206
2002	2	1	4	67
2002	2	2	0	2440
2002	2	2	1	305
2002	2	2	2	13856
2002	2	2	3	1947
2002	2	2	4	3921
2002	3	0	0	73091
2002	3	0	1	754
2002	3	0	2	6597
2002	3	0	3	1914
2002	3	0	4	203
2002	3	1	1	31673
2002	3	1	3	840
2002	3	1	4	91
2002	3	2	0	2350
2002	3	2	1	305
2002	3	2	2	12557
2002	3	2	3	1912
2002	3	2	4	3898
2003	0	0	0	54201
2003	0	0	1	4354
2003	0	0	2	9837
2003	0	0	3	2034
2003	0	0	4	135
2003	0	1	1	28813
2003	0	1	3	24
2003	0	1	4	102
2003	0	2	0	8710
2003	0	2	1	313
2003	0	2	2	15287
2003	0	2	3	2300
2003	0	2	4	4356
2003	1	0	0	21940
2003	1	0	1	177
2003	1	0	2	10146
2003	1	0	3	1664
2003	1	0	4	171
2003	1	1	1	26844
2003	1	1	3	22
2003	1	1	4	2
2003	1	2	0	2211
2003	1	2	1	313
2003	1	2	2	15721
2003	1	2	3	2298
2003	1	2	4	4510
2003	2	0	0	53374
2003	2	0	1	39
2003	2	0	2	9516
2003	2	0	3	2425
2003	2	0	4	137
2003	2	1	1	22579
2003	2	1	3	47
2003	2	1	4	172
2003	2	2	0	2836
2003	2	2	1	313
2003	2	2	2	18064
2003	2	2	3	2201
2003	2	2	4	4450
2003	3	0	0	79490
2003	3	0	1	714
2003	3	0	2	9941
2003	3	0	3	2054
2003	3	0	4	136
2003	3	1	1	29286
2003	3	1	3	195
2003	3	1	4	243
2003	3	2	0	3060
2003	3	2	1	313
2003	3	2	2	16453
2003	3	2	3	2165
2003	3	2	4	4226
2004	0	0	0	29790
2004	0	0	1	4907
2004	0	0	2	14401
2004	0	0	3	2162
2004	0	0	4	138
2004	0	1	1	31026
2004	0	1	3	130
2004	0	1	4	36
2004	0	2	0	10363
2004	0	2	1	369
2004	0	2	2	15848
2004	0	2	3	3016
2004	0	2	4	5107
2004	1	0	0	18073
2004	1	0	1	80
2004	1	0	2	14668
2004	1	0	3	1755
2004	1	0	4	140
2004	1	1	1	19650
2004	1	1	3	35
2004	1	1	4	1
2004	1	2	0	3010
2004	1	2	1	369
2004	1	2	2	16246
2004	1	2	3	2450
2004	1	2	4	5013
2004	2	0	0	44834
2004	2	0	1	60
2004	2	0	2	13895
2004	2	0	3	2592
2004	2	0	4	144
2004	2	1	1	23610
2004	2	1	3	692
2004	2	1	4	11
2004	2	2	0	2946
2004	2	2	1	369
2004	2	2	2	19299
2004	2	2	3	2196
2004	2	2	4	4864
2004	3	0	0	61585
2004	3	0	1	768
2004	3	0	2	14328
2004	3	0	3	2184
2004	3	0	4	177
2004	3	1	1	30256
