year	quarter	region	method	class	proportion	size
1985	0	0	0	17	0.000465	146194
1985	0	0	0	18	0.010623	146194
1985	0	0	0	19	0.012456	146194
1985	0	0	0	20	0.004597	146194
1985	0	0	0	21	0.003926	146194
1985	0	0	0	22	0.04297	146194
1985	0	0	0	23	0.180589	146194
1985	0	0	0	24	0.28956	146194
1985	0	0	0	25	0.22018	146194
1985	0	0	0	26	0.12021	146194
1985	0	0	0	27	0.060515	146194
1985	0	0	0	28	0.02786	146194
1985	0	0	0	29	0.018763	146194
1985	0	0	0	30	0.001943	146194
1985	0	0	0	31	0.001348	146194
1985	0	0	0	32	0.000958	146194
1985	0	0	0	33	0.00143	146194
1985	0	0	0	34	0.000951	146194
1985	0	0	0	35	0	146194
1985	0	0	0	36	0.000274	146194
