name	label	value
catches	1956-0-2-1	185	
catches	1956-0-2-2	425	
catches	1956-0-2-3	648	
catches	1956-0-2-4	35	
catches	1956-1-0-0	0	
catches	1956-1-0-1	57	
catches	1956-1-0-2	191	
catches	1956-1-0-3	69	
catches	1956-1-0-4	98	
catches	1956-1-1-0	0	
catches	1956-1-1-1	2250	
catches	1956-1-1-2	0	
catches	1956-1-1-3	0	
catches	1956-1-1-4	0	
catches	1956-1-2-0	0	
catches	1956-1-2-1	185	
catches	1956-1-2-2	425	
catches	1956-1-2-3	648	
catches	1956-1-2-4	40	
catches	1956-2-0-0	0	
catches	1956-2-0-1	57	
catches	1956-2-0-2	191	
catches	1956-2-0-3	69	
catches	1956-2-0-4	261	
catches	1956-2-1-0	0	
catches	1956-2-1-1	2250	
catches	1956-2-1-2	0	
catches	1956-2-1-3	0	
catches	1956-2-1-4	0	
catches	1956-2-2-0	0	
catches	1956-2-2-1	185	
catches	1956-2-2-2	425	
catches	1956-2-2-3	648	
catches	1956-2-2-4	28	
catches	1956-3-0-0	0	
catches	1956-3-0-1	57	
catches	1956-3-0-2	191	
catches	1956-3-0-3	69	
catches	1956-3-0-4	0	
catches	1956-3-1-0	0	
catches	1956-3-1-1	2250	
catches	1956-3-1-2	0	
catches	1956-3-1-3	0	
catches	1956-3-1-4	0	
catches	1956-3-2-0	0	
catches	1956-3-2-1	185	
catches	1956-3-2-2	425	
catches	1956-3-2-3	648	
catches	1956-3-2-4	83	
catches	1957-0-0-0	0	
catches	1957-0-0-1	57	
catches	1957-0-0-2	476	
catches	1957-0-0-3	67	
catches	1957-0-0-4	49	
catches	1957-0-1-0	0	
catches	1957-0-1-1	2500	
catches	1957-0-1-2	0	
catches	1957-0-1-3	0	
catches	1957-0-1-4	0	
catches	1957-0-2-0	0	
catches	1957-0-2-1	189	
catches	1957-0-2-2	410	
catches	1957-0-2-3	623	
catches	1957-0-2-4	62	
catches	1957-1-0-0	0	
catches	1957-1-0-1	57	
catches	1957-1-0-2	476	
catches	1957-1-0-3	67	
catches	1957-1-0-4	8	
catches	1957-1-1-0	0	
catches	1957-1-1-1	2500	
catches	1957-1-1-2	0	
catches	1957-1-1-3	0	
catches	1957-1-1-4	0	
catches	1957-1-2-0	0	
catches	1957-1-2-1	189	
catches	1957-1-2-2	410	
catches	1957-1-2-3	623	
catches	1957-1-2-4	58	
catches	1957-2-0-0	0	
catches	1957-2-0-1	57	
catches	1957-2-0-2	476	
catches	1957-2-0-3	67	
catches	1957-2-0-4	39	
catches	1957-2-1-0	0	
catches	1957-2-1-1	2500	
catches	1957-2-1-2	0	
catches	1957-2-1-3	0	
catches	1957-2-1-4	0	
catches	1957-2-2-0	0	
catches	1957-2-2-1	189	
catches	1957-2-2-2	410	
catches	1957-2-2-3	623	
catches	1957-2-2-4	27	
catches	1957-3-0-0	0	
catches	1957-3-0-1	57	
catches	1957-3-0-2	476	
catches	1957-3-0-3	67	
catches	1957-3-0-4	85	
catches	1957-3-1-0	0	
catches	1957-3-1-1	2500	
catches	1957-3-1-2	0	
catches	1957-3-1-3	0	
catches	1957-3-1-4	0	
catches	1957-3-2-0	0	
catches	1957-3-2-1	189	
catches	1957-3-2-2	410	
catches	1957-3-2-3	623	
catches	1957-3-2-4	38	
catches	1958-0-0-0	0	
catches	1958-0-0-1	56	
catches	1958-0-0-2	243	
catches	1958-0-0-3	68	
